식당명,도로명주소,지번주소,식당위도,식당경도,,,,,,,,,,,,,,,,,,,,,,,
테이크아웃치킨&오븐,전라북도 전주시 완산구 신봉4길 8,전라북도 전주시 완산구 효자동1가 597-1,35.811954,127.1189715,,,,,,,,,,,,,,,,,,,,,,,
슈퍼떡볶킹,전라북도 전주시 덕진구 송천1길 19,전라북도 전주시 덕진구 송천동1가 403-1,35.8571637,127.1187803,,,,,,,,,,,,,,,,,,,,,,,
호맥,전라북도 전주시 완산구 전주객사2길 71,전라북도 전주시 완산구 다가동4가 57-3,35.8198308,127.1397893,,,,,,,,,,,,,,,,,,,,,,,
건지포차,전라북도 전주시 덕진구 명륜4길 11-7,전라북도 전주시 덕진구 덕진동1가 1262-6,35.8432881,127.125767,,,,,,,,,,,,,,,,,,,,,,,
문화공간카페12-4,전라북도 전주시 완산구 전주객사2길 12-4,전라북도 전주시 완산구 중앙동1가 32-1,35.8175028,127.1415879,,,,,,,,,,,,,,,,,,,,,,,
봄커피,전라북도 전주시 완산구 전라감영2길 31,전라북도 전주시 완산구 다가동3가 107-2,35.8160023,127.1413594,,,,,,,,,,,,,,,,,,,,,,,
그랑삐아또 중화산본점,전라북도 전주시 완산구 서원로 356,전라북도 전주시 완산구 중화산동1가 303-1,35.8130502,127.1331042,,,,,,,,,,,,,,,,,,,,,,,
홍루이젠 신시가지점,전라북도 전주시 완산구 바우배기2길 11 103호,전라북도 전주시 완산구 효자동2가 1234-2,35.8171756,127.1029274,,,,,,,,,,,,,,,,,,,,,,,
족발예찬 송천동본점,전라북도 전주시 덕진구 사근1길 23-1,전라북도 전주시 덕진구 송천동2가 176-8,35.8668081,127.1296614,,,,,,,,,,,,,,,,,,,,,,,
흥부네피순대,전라북도 전주시 완산구 신봉로 49 1층,전라북도 전주시 완산구 효자동1가 635-2,35.810433,127.1210088,,,,,,,,,,,,,,,,,,,,,,,
이태리부대찌개 서곡점,전라북도 전주시 완산구 서곡로 76 ,전라북도 전주시 완산구 효자동3가 1436-2,35.8354324,127.1016961,,,,,,,,,,,,,,,,,,,,,,,
